id,from_id,to_id,type,description,product_id,confidence,status,value,unit,value_type,period,valid_from,valid_to,source_ids,note
rel_delta_2025_produces_cdu,TWSE_2308,coolant_distribution_unit,PRODUCES,Delta reports coolant distribution units for liquid cooling systems,coolant_distribution_unit,0.85,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_dc_pump,TWSE_2308,dc_pump,PRODUCES,Delta reports DC pumps for liquid cooling systems,dc_pump,0.80,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_tlvr_inductor,TWSE_2308,tlvr_inductor,PRODUCES,Delta reports TLVR inductors for high-current power delivery,tlvr_inductor,0.85,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_ai_datacenter_2025_drives_demand_ai_power_supply,ai_datacenter,ai_power_supply,DRIVES_DEMAND_FOR,AI data center growth drives demand for AI power supply products,ai_power_supply,0.75,candidate,,,inferred,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_ai_datacenter_2025_drives_demand_liquid_cooling,ai_datacenter,liquid_cooling,DRIVES_DEMAND_FOR,AI GPU and CPU power density drives demand for liquid cooling solutions,liquid_cooling,0.75,candidate,,,inferred,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction; reused existing liquid_cooling node
rel_high_voltage_dc_power_component_of_data_center_power_solution,high_voltage_dc_power,data_center_power_solution,COMPONENT_OF,High-voltage DC power is a component of Delta data center power solutions,,0.70,candidate,,,inferred,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_power_distribution_module_component_of_data_center_power_solution,power_distribution_module,data_center_power_solution,COMPONENT_OF,Power distribution modules are components of Delta data center power solutions,,0.70,candidate,,,inferred,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_cold_plate_component_of_liquid_cooling_solution,cold_plate,liquid_cooling,COMPONENT_OF,Cold plates are components of liquid cooling solutions,,0.75,candidate,,,inferred,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction; reused existing liquid_cooling node
rel_cdu_component_of_liquid_cooling_solution,coolant_distribution_unit,liquid_cooling,COMPONENT_OF,Coolant distribution units are components of liquid cooling solutions,,0.75,candidate,,,inferred,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction; reused existing liquid_cooling node
rel_0001,TWSE_2330,US_NVDA,MANUFACTURES_FOR,台積電為 NVIDIA 代工先進製程 AI GPU,ai_gpu,0.95,verified,,,unknown,2026,,,source_manual_seed_v0,
rel_0002,US_NVDA,ai_gpu,PRODUCES,NVIDIA 設計並銷售 AI GPU,,0.95,verified,,,unknown,2026,,,source_manual_seed_v0,
rel_0003,ai_gpu,ai_server,COMPONENT_OF,AI GPU 是 AI Server 的核心組件,,0.95,verified,,,unknown,2026,,,source_manual_seed_v0,
rel_0004,ai_server,ai_datacenter,USED_IN,AI Server 用於 AI 資料中心,,0.90,verified,,,unknown,2026,,,source_manual_seed_v0,
rel_0005,ai_datacenter,ai_server,DRIVES_DEMAND_FOR,AI 資料中心建置驅動 AI Server 需求,,0.90,verified,,,unknown,2026,,,source_manual_seed_v0,
rel_0006,TWSE_2330,semiconductor_foundry,BELONGS_TO,台積電屬於晶圓代工產業,,1.0,verified,,,unknown,,,,source_manual_seed_v0,
rel_0007,TWSE_2454,ic_design,BELONGS_TO,聯發科屬於 IC 設計產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0008,TWSE_3034,ic_design,BELONGS_TO,聯詠屬於 IC 設計產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0009,TWSE_2379,ic_design,BELONGS_TO,瑞昱屬於 IC 設計產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0010,TWSE_3711,osat,BELONGS_TO,日月光投控屬於封裝測試產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0011,TWSE_2317,ems,BELONGS_TO,鴻海屬於 EMS 電子代工產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0012,TWSE_2382,server_odm,BELONGS_TO,廣達屬於伺服器 ODM 產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0013,TWSE_3231,server_odm,BELONGS_TO,緯創屬於伺服器 ODM 產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0014,TWSE_2356,server_odm,BELONGS_TO,英業達屬於伺服器 ODM 產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0015,TWSE_2308,power_supply_industry,BELONGS_TO,台達電屬於電源供應器產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0016,TWSE_2368,pcb_industry,BELONGS_TO,金像電屬於 PCB 產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0017,TWSE_3044,pcb_industry,BELONGS_TO,健鼎屬於 PCB 產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0018,TWSE_3017,thermal_industry,BELONGS_TO,奇鋐屬於散熱產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0019,TWSE_3324,thermal_industry,BELONGS_TO,雙鴻屬於散熱產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0020,TWSE_3023,connector_industry,BELONGS_TO,信邦屬於連接器與線束產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0021,TWSE_3665,connector_industry,BELONGS_TO,貿聯-KY 屬於連接器與線束產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0022,TWSE_2344,memory_industry,BELONGS_TO,華邦電屬於記憶體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0023,TWSE_2408,memory_industry,BELONGS_TO,南亞科屬於記憶體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0024,TPEX_5347,semiconductor_foundry,BELONGS_TO,世界先進屬於晶圓代工產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0025,TWSE_6770,semiconductor_foundry,BELONGS_TO,力積電屬於晶圓代工產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0026,US_NVDA,ic_design,BELONGS_TO,NVIDIA 屬於 IC 設計產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0027,US_AMD,ic_design,BELONGS_TO,AMD 屬於 IC 設計產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0028,US_AAPL,consumer_brand,BELONGS_TO,Apple 屬於消費電子品牌,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0029,NL_ASML,semiconductor_equipment,BELONGS_TO,ASML 屬於半導體設備產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0030,KR_005930,memory_industry,BELONGS_TO,Samsung 屬於記憶體產業,,0.9,verified,,,unknown,,,,source_manual_seed_v1,Samsung 亦有晶圓代工與品牌事業
rel_0031,KR_000660,memory_industry,BELONGS_TO,SK Hynix 屬於記憶體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0032,US_MU,memory_industry,BELONGS_TO,Micron 屬於記憶體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0033,semiconductor_foundry,semiconductor,BELONGS_TO,晶圓代工屬於半導體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0034,ic_design,semiconductor,BELONGS_TO,IC 設計屬於半導體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0035,osat,semiconductor,BELONGS_TO,封裝測試屬於半導體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0036,memory_industry,semiconductor,BELONGS_TO,記憶體屬於半導體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0037,semiconductor_equipment,semiconductor,BELONGS_TO,半導體設備屬於半導體產業,,1.0,verified,,,unknown,,,,source_manual_seed_v1,
rel_0038,TWSE_2330,wafer_foundry_service,PRODUCES,台積電提供先進製程晶圓代工服務,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0039,TWSE_2330,cowos,PRODUCES,台積電提供 CoWoS 先進封裝服務,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0040,TPEX_5347,mature_foundry_service,PRODUCES,世界先進提供成熟製程晶圓代工,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0041,TWSE_6770,mature_foundry_service,PRODUCES,力積電提供成熟製程與記憶體代工,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0042,TWSE_3711,osat_service,PRODUCES,日月光投控提供封裝測試服務,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0043,TWSE_2454,smartphone_soc,PRODUCES,聯發科設計手機 SoC,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0044,TWSE_3034,display_driver_ic,PRODUCES,聯詠設計顯示驅動 IC,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0045,TWSE_2379,network_ic,PRODUCES,瑞昱設計網通 IC,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0046,TWSE_2344,nor_flash,PRODUCES,華邦電生產 NOR Flash,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0047,TWSE_2344,specialty_dram,PRODUCES,華邦電生產利基型 DRAM,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0048,TWSE_2408,dram,PRODUCES,南亞科生產 DRAM,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0049,TWSE_2368,server_pcb,PRODUCES,金像電生產伺服器 PCB,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0050,TWSE_3044,server_pcb,PRODUCES,健鼎生產伺服器與各類 PCB,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0051,TWSE_2308,server_power_supply,PRODUCES,台達電生產伺服器電源,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0052,TWSE_2308,liquid_cooling,PRODUCES,台達電提供液冷散熱方案,,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0053,TWSE_3017,thermal_module,PRODUCES,奇鋐生產散熱模組,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0054,TWSE_3017,liquid_cooling,PRODUCES,奇鋐提供 AI 伺服器水冷方案,,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0055,TWSE_3324,thermal_module,PRODUCES,雙鴻生產散熱模組,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0056,TWSE_3324,liquid_cooling,PRODUCES,雙鴻提供水冷散熱方案,,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0057,TWSE_3023,high_speed_cable,PRODUCES,信邦生產連接線束,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0058,TWSE_3665,high_speed_cable,PRODUCES,貿聯-KY 生產高速傳輸線束,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0059,US_AMD,ai_gpu,PRODUCES,AMD 設計 AI GPU,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0060,US_AMD,server_cpu,PRODUCES,AMD 設計伺服器 CPU,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0061,US_AAPL,smartphone,PRODUCES,Apple 銷售 iPhone 智慧型手機,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0062,NL_ASML,euv_scanner,PRODUCES,ASML 生產 EUV 曝光機,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0063,KR_005930,dram,PRODUCES,Samsung 生產 DRAM,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0064,KR_005930,hbm,PRODUCES,Samsung 生產 HBM,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0065,KR_000660,dram,PRODUCES,SK Hynix 生產 DRAM,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0066,KR_000660,hbm,PRODUCES,SK Hynix 生產 HBM,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0067,US_MU,dram,PRODUCES,Micron 生產 DRAM,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0068,US_MU,hbm,PRODUCES,Micron 生產 HBM,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0069,TWSE_2382,ai_server,ASSEMBLES,廣達組裝 AI 伺服器,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0070,TWSE_3231,ai_server,ASSEMBLES,緯創組裝 AI 伺服器,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0071,TWSE_2356,ai_server,ASSEMBLES,英業達組裝 AI 伺服器,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0072,TWSE_2317,ai_server,ASSEMBLES,鴻海組裝 AI 伺服器,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0073,hbm,ai_gpu,COMPONENT_OF,HBM 是 AI GPU 的關鍵組件,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0074,cowos,ai_gpu,INPUT_OF,CoWoS 先進封裝是 AI GPU 的生產投入,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0075,wafer_foundry_service,ai_gpu,INPUT_OF,先進製程代工是 AI GPU 的生產投入,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0076,wafer_foundry_service,smartphone_soc,INPUT_OF,先進製程代工是手機 SoC 的生產投入,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0077,osat_service,smartphone_soc,INPUT_OF,封裝測試是手機 SoC 的生產投入,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0078,server_cpu,ai_server,COMPONENT_OF,伺服器 CPU 是 AI Server 的組件,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0079,dram,ai_server,COMPONENT_OF,DRAM 是 AI Server 的組件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0080,server_pcb,ai_server,COMPONENT_OF,伺服器 PCB 是 AI Server 的組件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0081,server_power_supply,ai_server,COMPONENT_OF,伺服器電源是 AI Server 的組件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0082,thermal_module,ai_server,COMPONENT_OF,散熱模組是 AI Server 的組件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0083,liquid_cooling,ai_server,COMPONENT_OF,水冷散熱是高階 AI Server 的組件,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0084,high_speed_cable,ai_server,COMPONENT_OF,高速線束是 AI Server 的組件,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0085,euv_scanner,wafer_foundry_service,INPUT_OF,EUV 曝光機是先進製程代工的生產投入,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0086,smartphone_soc,smartphone,COMPONENT_OF,手機 SoC 是智慧型手機的組件,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0087,display_driver_ic,smartphone,COMPONENT_OF,顯示驅動 IC 是智慧型手機的組件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0088,nor_flash,smartphone,COMPONENT_OF,NOR Flash 用於智慧型手機等裝置,,0.7,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0089,liquid_cooling,thermal_module,SUBSTITUTE_FOR,水冷方案可替代氣冷散熱模組,,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0090,ai_server,cloud_computing,USED_IN,AI Server 用於雲端運算,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0091,network_ic,networking,USED_IN,網通 IC 用於網路通訊設備,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0092,smartphone,smartphone_market,USED_IN,智慧型手機銷往手機終端市場,,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0093,display_driver_ic,consumer_electronics,USED_IN,顯示驅動 IC 用於消費性電子,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0094,dram,pc_notebook,USED_IN,DRAM 用於 PC 與筆電,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0095,specialty_dram,automotive_electronics,USED_IN,利基型 DRAM 用於車用電子,,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0096,nor_flash,automotive_electronics,USED_IN,NOR Flash 用於車用電子,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0097,high_speed_cable,automotive_electronics,USED_IN,線束用於車用電子與電動車,,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0098,smartphone_soc,edge_ai,USED_IN,手機 SoC 支援邊緣 AI 運算,,0.75,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0099,ai_datacenter,ai_gpu,DRIVES_DEMAND_FOR,AI 資料中心驅動 AI GPU 需求,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0100,ai_datacenter,hbm,DRIVES_DEMAND_FOR,AI 資料中心驅動 HBM 需求,,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0101,ai_datacenter,liquid_cooling,DRIVES_DEMAND_FOR,AI 資料中心驅動液冷散熱需求,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0102,cloud_computing,ai_server,DRIVES_DEMAND_FOR,雲端運算驅動伺服器需求,,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0103,smartphone_market,smartphone_soc,DRIVES_DEMAND_FOR,手機市場驅動手機 SoC 需求,,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0104,automotive_electronics,nor_flash,DRIVES_DEMAND_FOR,車用電子驅動 NOR Flash 需求,,0.75,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0105,TWSE_2330,US_AMD,MANUFACTURES_FOR,台積電為 AMD 代工 CPU 與 GPU,ai_gpu,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0106,TWSE_2330,US_AAPL,MANUFACTURES_FOR,台積電為 Apple 代工自研 SoC,smartphone_soc,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0107,TWSE_2330,TWSE_2454,MANUFACTURES_FOR,台積電為聯發科代工手機 SoC,smartphone_soc,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0108,NL_ASML,TWSE_2330,SUPPLIES_TO,ASML 供應 EUV 曝光機給台積電,euv_scanner,0.95,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0109,NL_ASML,KR_005930,SUPPLIES_TO,ASML 供應曝光機給 Samsung,euv_scanner,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0110,KR_000660,US_NVDA,SUPPLIES_TO,SK Hynix 供應 HBM 給 NVIDIA,hbm,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0111,US_MU,US_NVDA,SUPPLIES_TO,Micron 供應 HBM 給 NVIDIA,hbm,0.7,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0112,KR_005930,US_NVDA,SUPPLIES_TO,Samsung 供應 HBM 給 NVIDIA,hbm,0.5,candidate,,,unknown,2026,,,source_manual_seed_v1,認證進度依市場報導推論
rel_0113,TWSE_3711,TWSE_2454,SUPPLIES_TO,日月光投控提供封測服務給聯發科,osat_service,0.7,candidate,,,unknown,2026,,,source_manual_seed_v1,依產業慣例推論
rel_0114,TWSE_2382,US_NVDA,ASSEMBLES_FOR,廣達為 NVIDIA 平台組裝 AI 伺服器,ai_server,0.65,candidate,,,unknown,2026,,,source_manual_seed_v1,依市場報導推論
rel_0115,TWSE_2317,US_NVDA,ASSEMBLES_FOR,鴻海為 NVIDIA 組裝 AI 伺服器機櫃,ai_server,0.65,candidate,,,unknown,2026,,,source_manual_seed_v1,依市場報導推論
rel_0116,TWSE_3231,US_NVDA,ASSEMBLES_FOR,緯創為 NVIDIA 供應 AI 伺服器相關模組,ai_server,0.6,candidate,,,unknown,2026,,,source_manual_seed_v1,依市場報導推論
rel_0117,TWSE_2317,US_AAPL,ASSEMBLES_FOR,鴻海為 Apple 組裝 iPhone,smartphone,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0118,TWSE_2308,TWSE_2382,SUPPLIES_TO,台達電供應伺服器電源給廣達,server_power_supply,0.6,candidate,,,unknown,2026,,,source_manual_seed_v1,依產業結構推論
rel_0119,TWSE_2308,TWSE_2317,SUPPLIES_TO,台達電供應電源給鴻海,server_power_supply,0.55,candidate,,,unknown,2026,,,source_manual_seed_v1,依產業結構推論
rel_0120,TWSE_3017,TWSE_2382,SUPPLIES_TO,奇鋐供應散熱方案給廣達,liquid_cooling,0.6,candidate,,,unknown,2026,,,source_manual_seed_v1,依市場報導推論
rel_0121,TWSE_3324,TWSE_2382,SUPPLIES_TO,雙鴻供應散熱方案給廣達,liquid_cooling,0.55,candidate,,,unknown,2026,,,source_manual_seed_v1,依市場報導推論
rel_0122,TWSE_2368,TWSE_2382,SUPPLIES_TO,金像電供應伺服器 PCB 給廣達,server_pcb,0.6,candidate,,,unknown,2026,,,source_manual_seed_v1,依市場報導推論
rel_0123,TWSE_3665,US_NVDA,SUPPLIES_TO,貿聯-KY 供應高速線束給 NVIDIA 平台,high_speed_cable,0.55,candidate,,,unknown,2026,,,source_manual_seed_v1,依市場報導推論
rel_0124,US_NVDA,US_AMD,COMPETES_WITH,NVIDIA 與 AMD 在 AI GPU 市場競爭,ai_gpu,0.9,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0125,TWSE_2382,TWSE_3231,COMPETES_WITH,廣達與緯創在伺服器 ODM 競爭,ai_server,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0126,TWSE_3017,TWSE_3324,COMPETES_WITH,奇鋐與雙鴻在散熱市場競爭,thermal_module,0.8,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0127,KR_000660,US_MU,COMPETES_WITH,SK Hynix 與 Micron 在 HBM 市場競爭,hbm,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0128,TWSE_2330,KR_005930,COMPETES_WITH,台積電與 Samsung 在先進製程代工競爭,wafer_foundry_service,0.85,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0129,TWSE_2408,US_MU,COMPETES_WITH,南亞科與 Micron 在 DRAM 市場競爭,dram,0.75,verified,,,unknown,2026,,,source_manual_seed_v1,
rel_0130,TWSE_2881,financial_holding,BELONGS_TO,富邦金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0131,TWSE_2882,financial_holding,BELONGS_TO,國泰金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0132,TWSE_2891,financial_holding,BELONGS_TO,中信金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0133,TWSE_2886,financial_holding,BELONGS_TO,兆豐金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0134,TWSE_2884,financial_holding,BELONGS_TO,玉山金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0135,TWSE_2885,financial_holding,BELONGS_TO,元大金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0136,TWSE_2892,financial_holding,BELONGS_TO,第一金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0137,TWSE_5880,financial_holding,BELONGS_TO,合庫金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0138,TWSE_2880,financial_holding,BELONGS_TO,華南金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0139,TWSE_2890,financial_holding,BELONGS_TO,永豐金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0140,TWSE_2887,financial_holding,BELONGS_TO,台新金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0141,TWSE_2883,financial_holding,BELONGS_TO,凱基金屬於金融控股產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0142,TWSE_5871,financial_holding,BELONGS_TO,中租-KY 屬於金融（租賃）產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0143,TWSE_2412,telecom,BELONGS_TO,中華電屬於電信產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0144,TWSE_3045,telecom,BELONGS_TO,台灣大屬於電信產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0145,TWSE_4904,telecom,BELONGS_TO,遠傳屬於電信產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0146,TWSE_2303,semiconductor_foundry,BELONGS_TO,聯電屬於晶圓代工產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0147,TWSE_3661,ic_design,BELONGS_TO,世芯-KY 屬於 IC 設計（ASIC）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
